name,current price,original price,link,rating
Apple iPhone 13 - 128GB - Non Approved - Charger and Cover - Daraz Like New Phones (Mobile Phones) - Used Phone,114999,205000,//www.daraz.pk/products/apple-iphone-13-128gb-non-approved-charger-and-cover-daraz-like-new-phones-mobile-phones-used-phone-i472601149-s2230645449.html,-
"TWS I12 &  M19, M 28 , M27 & Air 31 & Pro3 Airpods_ with Super Sound & High Quality Touch Sensors True Stereo Headphones with Built in Mic 10m Transmission Bluetooth Wireless Earbuds , Charging Case Sport Headset for all Bluetooth Smart devices.",699,2000,//www.daraz.pk/products/tws-i12-i7s-10-i265024494-s1481277372.html,-
Original M10 & M19 & F9 & Air31 Airbuds Double Wireless Bluetooth Hand Free with Power Bank Earphones White bluetooth ear phone for all cell phones use,791,1500,//www.daraz.pk/products/original-m10-m19-m88-m90-i7s-double-wireless-bluetooth-hand-free-with-power-bank-earphones-white-bluetooth-ear-phone-for-all-cell-phones-use-i420628950-s1986571212.html,-
Airbuds & S109 & M10 & M19 & M28 M90 & i12 Double Wireless Bluetooth Hand Free with Power Bank Earphones White bluetooth ear phone for all cell phones use,899,4000,//www.daraz.pk/products/airbuds-s109-m10-m19-m28-m90-i12-double-wireless-bluetooth-hand-free-with-power-bank-earphones-white-bluetooth-ear-phone-for-all-cell-phones-use-i421680820-s2271722317.html,-
Newmine  Airpods Wireless Bluetooth Air buds Stereo Earphones  bluetooth ear phone for all cell phones use,799,2000,//www.daraz.pk/products/newmine-airpods-wireless-bluetooth-air-buds-stereo-earphones-bluetooth-ear-phone-for-all-cell-phones-use-i473605522-s2326649646.html,-
AirPods Pro Wireless Earphones White with Lightning Charging Cas,692,699,//www.daraz.pk/products/airpods-3rd-gen-wireless-earphones-white-with-lightning-charging-cas-i220870068-s2392247610.html,-
Chia Seeds 100g (Organic and Original) Superfood,189,Rs. 225,//www.daraz.pk/products/chia-seeds-100g-organic-and-original-superfood-i422771436-s2000808343.html?search=1,4.6/5
"Chia Seeds 500g | Export Quality | Rich Omega 3 | Good Source of Fiber & Protein | Great with Shakes, Smoothies & Oatmeal","1,299","Rs. 3,500",//www.daraz.pk/products/500-3-i421939271-s2234638124.html?search=1,4.8/5
Chia Seeds (500 Gram) Organic For Effective Weight Loss Loose Neat & Clean Seed - Imported,"1,085","Rs. 2,000",//www.daraz.pk/products/chia-seeds-500-gram-organic-for-effective-weight-loss-loose-neat-clean-seed-imported-i395740447-s1920915397.html?search=1,4.8/5
Chia Seeds (250 Gram) Organic For Effective Weight Loss Loose Neat & Clean Imported Seed,590,"Rs. 1,250",//www.daraz.pk/products/chia-seeds-250-gram-organic-for-effective-weight-loss-loose-neat-clean-imported-seed-i392338533-s1916286161.html?search=1,4.7/5
Knorr Bouillon Chicken Cube - 18G,64,Rs. 70,//www.daraz.pk/products/knorr-bouillon-chicken-cube-18g-i183740895-s1366828443.html?search=1,4.9/5
"360° Rotating Makeup Brush Storage Box Portable Desktop Cosmetic Organizer,7 Slots Transparent Makeup Brush Box Dust Free Makeup Brush Organizer for Display Stand Bedroom Dresser Bathroom Counter Top.",799,"Rs. 1,499",//www.daraz.pk/products/360-rotating-makeup-brush-storage-box-portable-desktop-cosmetic-organizer7-slots-transparent-makeup-brush-box-dust-free-makeup-brush-organizer-for-display-stand-bedroom-dresser-bathroom-counter-top-i457861573-s2168761844.html?search=1,4.6/5
"Original Pack Of 3- Feather Flamingo Facial Razor for Face, Eyebrows & Body shaving | 3-Piece Facial Touch-up Razor",188,Rs. 500,//www.daraz.pk/products/3-3-i429173975-s2040905834.html?search=1,4.4/5
Makeup Organiser Cosmetic Storage Box Multi Functional Desktop Tidy Organiser Holder with Drawer Random Colour,289,Rs. 399,//www.daraz.pk/products/makeup-organiser-cosmetic-storage-box-multi-functional-desktop-tidy-organiser-holder-with-drawer-random-colour-i434633811-s2138502705.html?search=1,4.4/5
"Tinkle Eyebrow Razor, Hair Trimmer Shaver and Tough Up Tool, Facial Razor For Girls - 3 in 1",135,Rs. 199,//www.daraz.pk/products/1-3-i432214440-s2063486677.html?search=1,4.1/5
Cosmetic Makeup Organizer Transparent Acrylic Lipstick Holder Display Stand Nail Polish Eyebrow Pencil Storage Box Toothbrush Holder Stationary Holder,494,Rs. 999,//www.daraz.pk/products/transparent-acrylic-cosmetic-storage-box-makeup-brush-lipstick-cosmetic-organizer-make-up-tools-pen-holder-rack-jewelry-display-i244969985-s1463436254.html?search=1,4.6/5
Peshawari Chapple for Mens 2024 hand made sandals outdoor Comfortable light weight  casual Walking Fashion Traditional summer sandal - shoes for men,989,"Rs. 1,999",//www.daraz.pk/products/2024-i457770754-s2167803323.html?search=1,3.7/5
Peshawari chappal nirozi for men Gents new peshawari sandal footwear for boys,"1,850","Rs. 3,200",//www.daraz.pk/products/-i467016611-s2383567651.html?search=1,4.4/5
lates peshawari bugti/balochi chappal sandal BROWN color shoes,699,"Rs. 1,749",//www.daraz.pk/products/lates-peshawari-bugtibalochi-chappal-sandal-brown-shoes-i131239894-s2057069864.html?search=1,4.3/5
Stylish Peshawari Chappal For Mens | Chappal For Boys,745,"Rs. 1,999",//www.daraz.pk/products/-i491939220-s2336833427.html?search=1,3.6/5
peshawari kheri and chappal for men best handmade pure leather with big sole,"2,199",,//www.daraz.pk/products/-i478229850-s2260159980.html?search=1,4.9/5
Pack of 3Pcs Luxury Camisole for Girls Shameez Stretcheable for Women of Good Quality cotton,479,Rs. 899,//www.daraz.pk/products/3-100-i432866264-s2323545696.html?search=1,4.3/5
Premium Strong Hijab Matte Magnetic Pins No Snag Multi Use Hijab Magnets Professional Pinless Magnetic Hijab Pins,227,Rs. 599,//www.daraz.pk/products/-i408019759-s2327682158.html?search=1,4.3/5
Satin Silk Gown Night Dress For Women Girls 1109 with Bikini Set,498,"Rs. 1,000",//www.daraz.pk/products/1109-i437300290-s2181468890.html?search=1,3.5/5
Premium Strong Hijab Magnetic Pins No Snag Multi Use Hijab Magnets Professional Pinless Magnetic Hijab Pins,227,Rs. 699,//www.daraz.pk/products/premium-strong-hijab-magnetic-pins-no-snag-multi-use-hijab-magnets-professional-pinless-magnetic-hijab-pins-i434627155-s2301155590.html?search=1,4/5
"Top Collection pack of 3 camisole, shames for girls, teen age undergarments cm-001",549,Rs. 999,//www.daraz.pk/products/3-cm-001-i451127230-s2144805901.html?search=1,4.1/5
Pack of 4 | Baby Silicone Spoon Feeder + Fruit Pacifier + Knee Pads + U Shape Brush,570,,//www.daraz.pk/products/pack-of-4-baby-silicon-squeeze-feeder-set-with-baby-fruit-pacifier_nipple-chusni-and-1-pair-of-baby-kneepad-for-crawling-feeding-bottle-brush-food-feeder-and-bowl-baby-teether-soother-puree-baby-knee-protector-knee-pad-i394184558-s2194423015.html?search=1,4.3/5
